Timestamp,ImagemComparada,TamanhoDaLista,DuracaoOrdenacao_ns
2025-11-29 16:49:30,imgs/comparar\0a1ad1756ba6219eb2359fd3ed2a7082.jpg,14,3.5335e+06
2025-11-29 16:49:30,imgs/comparar\cachorro.jpg,14,2.8879e+06
2025-11-29 16:49:30,imgs/comparar\ferrari.png,14,6.0407e+06
2025-11-29 16:49:30,imgs/comparar\ferrari2.png,14,6.3357e+06
2025-11-29 16:49:30,imgs/comparar\lamborghini.jpg,14,4.636e+06
2025-11-29 16:50:55,imgs/comparar\0a1ad1756ba6219eb2359fd3ed2a7082.jpg,14,3.6512e+06
2025-11-29 16:50:55,imgs/comparar\cachorro.jpg,14,2.3926e+06
2025-11-29 16:50:55,imgs/comparar\ferrari.png,14,5.161e+06
2025-11-29 16:50:55,imgs/comparar\ferrari2.png,14,6.406e+06
2025-11-29 16:50:55,imgs/comparar\lamborghini.jpg,14,3.8927e+06
2025-11-30 20:14:50,imgs/comparar\0a1ad1756ba6219eb2359fd3ed2a7082.jpg,21,3.7817e+06
2025-11-30 20:14:50,imgs/comparar\cachorro.jpg,21,2.4097e+06
2025-11-30 20:14:50,imgs/comparar\ferrari.png,21,5.338e+06
2025-11-30 20:14:50,imgs/comparar\ferrari2.png,21,7.8497e+06
2025-11-30 20:14:50,imgs/comparar\lamborghini.jpg,21,4.6603e+06
2025-11-30 20:49:44,imgs/comparar\0a1ad1756ba6219eb2359fd3ed2a7082.jpg,21,3.53e+06
2025-11-30 20:49:44,imgs/comparar\cachorro.jpg,21,2.4121e+06
2025-11-30 20:49:44,imgs/comparar\ferrari.png,21,5.1456e+06
2025-11-30 20:49:44,imgs/comparar\ferrari2.png,21,6.5681e+06
2025-11-30 20:49:44,imgs/comparar\lamborghini.jpg,21,4.5211e+06
2025-11-30 20:56:25,imgs/comparar\0a1ad1756ba6219eb2359fd3ed2a7082.jpg,14,3.5463e+06
2025-11-30 20:56:25,imgs/comparar\cachorro.jpg,14,2.209e+06
2025-11-30 20:56:25,imgs/comparar\ferrari.png,14,5.1436e+06
2025-11-30 20:56:25,imgs/comparar\ferrari2.png,14,6.2759e+06
2025-11-30 20:56:25,imgs/comparar\lamborghini.jpg,14,4.2515e+06
2025-11-30 20:56:58,imgs/comparar\0a1ad1756ba6219eb2359fd3ed2a7082.jpg,14,3.2093e+06
2025-11-30 20:56:58,imgs/comparar\cachorro.jpg,14,2.2493e+06
2025-11-30 20:56:58,imgs/comparar\ferrari.png,14,5.0615e+06
2025-11-30 20:56:58,imgs/comparar\ferrari2.png,14,6.3358e+06
2025-11-30 20:56:58,imgs/comparar\lamborghini.jpg,14,4.2207e+06
